nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
Ichitan_Susu_MinumanThaiMilkGreenTea_310mL,170,0.0,21.0,0.19,4,0,0,12.279139950583133,2.2,10.079139950583134,D
Ichitan_Susu_MinumanThaiMilkCoffee_310mL,210,0.0,29.0,0.22,4,0,0,14.613942001918598,2.2,12.413942001918599,D
Ichitan_Susu_MinumanThaiMilkTea_310mL,210,0.0,25.0,0.16,3,0,0,14.156375040908538,2.4989583333333334,11.657416707575205,D
Ultra_Susu_SusuCairUhtSterilPlain_1000mL,150,3.5,10.0,0.055,8,0,0,11.544707362374815,5.4305555555555545,6.114151806819261,C
Ultra_Susu_SusuCairLowFatHi-CalciumCoklat_1000mL,150,1.0,10.0,0.16,8,0,0,8.999999999999998,5.4305555555555545,3.5694444444444438,C
Ultra_Susu_SusuCairLowFat_1000mL,110,2.0,10.0,0.16,8,0,0,9.226055112407701,5.4305555555555545,3.795499556852147,C
Ultra_Susu_SusuUhtSterilSlimPlain_200mL,120,3.0,8.0,0.04,6,0,0,9.476454493872481,3.888888888888889,5.587565604983592,C
Ultra_Susu_SusuCairLowFatHi-CalciumPlain_200mL,90,1.5,0.0,0.105,7,0,0,3.3629585108554747,2.046225614927905,1.31673289592757,B
Ultra_Susu_SusuCairLowFatHi-CalciumCokelat_200mL,130,1.5,15.0,0.125,7,0,0,11.62994350282486,2.046225614927905,9.583717887896956,C
Ultra_Susu_SusuUhtSterilSlimCoklat_200mL,160,3.0,19.0,0.045,6,0,0,13.874351595900405,3.888888888888889,9.985462707011516,C
Ultra_Susu_SusuUhtSterilSlimStrawberry_200mL,140,2.5,17.0,0.05,6,0,0,13.871191631344953,3.888888888888889,9.982302742456064,C
Ultra_Susu_SusuUhtMoka_200mL,150,2.5,13.0,0.055,7,0,0,9.815918309214252,2.046225614927905,7.769692694286348,C
Ultra_Susu_SusuUhtSterilSlimKaramel_200mL,150,4.0,11.0,0.085,6,0,0,14.033061229816129,3.888888888888889,10.14417234092724,D
Ultra_Susu_SusuUhtSterilSlimTaro_200mL,130,3.0,14.0,0.06,5,0,0,12.715752385839272,4.230854360336433,8.48489802550284,C
Ultra_Susu_SusuUhtSterilSlimPlain_250mL,120,3.0,14.0,0.04,6,0,0,12.314736933042063,3.888888888888889,8.425848044153174,C
